Message_ID,Session_ID,Speaker,Timestamp,Raw_Text,Parsed_Date,Parsed_Time,Intent_Label,Entities,Context,Language,Sentiment,Hour_of_Day,Day_of_Week,Month,Text_Length,Duration,TimeZone,Speaker_Encoded,Intent_Label_Encoded,Language_Encoded,Sentiment_Encoded
808462a0-2bf5-43a5-9ad8-ac98b92d0227,f343dfd9-6551-43b1-aae4-9c06f5265658,Bot,2025-05-14 16:14:06.643837,I'm looking to book a 60-minute meeting next week,2025-07-24,04:47:54,request_time_slot,"{""Duration"": ""30 min"", ""TimeZone"": ""UTC-5"", ""Day"": ""Friday"", ""TimeSlot"": ""Afternoon""}",Check act hit already.,fr,positive,16,Wednesday,May,49,30 min,UTC-5,0,2,3,2
9f02673f-b7c5-40b8-ae8d-f368d5fedd97,f63cc41e-2ad5-465f-b33e-9f340dec21d7,Recruiter,2026-01-10 14:38:43.255616,I prefer morning/afternoon meetings on Monday,2025-04-23,13:17:58,schedule_meeting,"{""Duration"": ""45 min"", ""TimeZone"": ""UTC-5"", ""Day"": ""Wednesday"", ""TimeSlot"": ""Evening""}",Read real high knowledge determine.,es,negative,14,Saturday,January,45,45 min,UTC-5,2,4,2,0
85640d54-9ab5-4552-9f11-f951d0a8b18f,c06e4dc7-1564-4d62-9f35-80086093cfe3,Candidate,2025-07-15 15:00:32.453935,Can we accommodate my UTC schedule?,2024-05-09,17:44:36,reschedule,"{""Duration"": ""60 min"", ""TimeZone"": ""UTC+8"", ""Day"": ""Friday"", ""TimeSlot"": ""Morning""}",Short best lay person.,es,neutral,15,Tuesday,July,35,60 min,UTC+8,1,3,2,1
abdafff8-acae-4e8c-a66d-22383220320a,e566386d-7c64-4c89-8fee-d21afcd3f1f0,Candidate,2025-01-29 22:12:50.426304,Looking for a Final Round interview this week,2024-04-07,19:45:55,request_time_slot,"{""Duration"": ""30 min"", ""TimeZone"": ""UTC+8"", ""Day"": ""Wednesday"", ""TimeSlot"": ""Afternoon""}",Simple leg former might music material interesting hear.,en,positive,22,Wednesday,January,45,30 min,UTC+8,1,2,1,2
ac4de480-2e15-4c5a-8ca1-39d87e93ca12,aad803ef-7636-4600-a83a-8112f3c65419,Recruiter,2025-04-16 18:12:10.519078,Can we accommodate my UTC schedule?,2025-03-03,15:36:39,reschedule,"{""Duration"": ""30 min"", ""TimeZone"": ""UTC-5"", ""Day"": ""Tuesday"", ""TimeSlot"": ""Evening""}",Some traditional manager hold increase.,en,positive,18,Wednesday,April,35,30 min,UTC-5,2,3,1,2
e9aa8bfc-3777-4637-abba-358abe009b45,2f3ff173-e096-4e0d-991f-e5944ab1bed1,Bot,2025-08-25 11:42:03.490211,Are there any open slots for a Initial Screening next week?,2025-02-28,15:29:47,offer_availability,"{""Duration"": ""60 min"", ""TimeZone"": ""UTC-8"", ""Day"": ""Tuesday"", ""TimeSlot"": ""Evening""}",Understand glass effort claim adult general.,de,negative,11,Monday,August,59,60 min,UTC-8,0,1,0,0
db3bb99e-a5e1-4b22-805e-ed173fc367aa,b411043e-6c28-4919-9378-2675bbac7a83,Candidate,2026-01-17 23:55:19.468466,I'm looking to book a 60-minute meeting next week,2025-01-12,08:39:16,request_time_slot,"{""Duration"": ""60 min"", ""TimeZone"": ""UTC+5"", ""Day"": ""Tuesday"", ""TimeSlot"": ""Evening""}",Beyond society budget player heavy something perform.,es,negative,23,Saturday,January,49,60 min,UTC+5,1,2,2,0
b541d271-c80f-4bf5-9227-e8a8da9edfac,21bcd7e2-5bee-4694-9873-92de3d013809,Recruiter,2024-10-08 03:01:55.256042,I prefer morning/afternoon meetings on Monday,2025-05-21,06:47:12,reschedule,"{""Duration"": ""45 min"", ""TimeZone"": ""UTC+8"", ""Day"": ""Thursday"", ""TimeSlot"": ""Morning""}",Compare job smile alone month who.,es,positive,3,Tuesday,October,45,45 min,UTC+8,2,3,2,2
e353285e-ff00-4abd-bea7-6b61c500c0a6,b6c6be0d-6b91-4aab-a9f2-96570656df79,Candidate,2025-07-02 23:17:44.715838,Would you have time for a 60-minute discussion?,2026-02-19,22:58:36,offer_availability,"{""Duration"": ""60 min"", ""TimeZone"": ""UTC+8"", ""Day"": ""Tuesday"", ""TimeSlot"": ""Evening""}",Hotel step art minute behavior inside.,es,positive,23,Wednesday,July,47,60 min,UTC+8,1,1,2,2
e5adad7f-72ef-48c7-8fcf-71b7b1823696,a49a3fb9-b0b9-47d3-a635-2fac69aa6a69,Candidate,2025-07-24 05:48:09.024924,My availability has changed. Let's find a new slot.,2024-09-15,09:15:19,offer_availability,"{""Duration"": ""30 min"", ""TimeZone"": ""UTC-5"", ""Day"": ""Monday"", ""TimeSlot"": ""Afternoon""}",Study she particularly say.,en,negative,5,Thursday,July,51,30 min,UTC-5,1,1,1,0
1073bea7-8ff8-4eee-b9d8-e8cc86cc216d,04f0930d-82e6-4544-bbb2-332af454add4,Candidate,2025-06-02 16:18:38.075254,I'm looking to book a 60-minute meeting next week,2024-10-09,10:47:34,cancel_meeting,"{""Duration"": ""30 min"", ""TimeZone"": ""UTC+8"", ""Day"": ""Tuesday"", ""TimeSlot"": ""Evening""}",Particular must agent eye.,de,positive,16,Monday,June,49,30 min,UTC+8,1,0,0,2
